identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"Bakkerij Toet, Apeldoorn",Bakkerij Toet,Apeldoorn,2015,40.0,0.85,0.8,"10 voor 8,00",Deventerstraat 197,"Deventerstraat 197, Apeldoorn, Nederland",Ruim voldoende,"Niet slecht qua smaak, maar had best een stuk luchtiger gemogen. Doet enigszins klef aan. De korst is niet lekker knapperig. Wellicht deed Toet te veel zijn best en keert dat zich tegen hem.",7.5,96.0,,,,,,,,10.5,,,10,8.00
"Bakkerij Van Dongen, Made",Bakkerij Van Dongen,Made,2015,41.0,0.95,0.91,"11 voor 10,00",Marktstraat 21,"Marktstraat 21, Made, Nederland",Ruim voldoende,"De resultaten van Van Dongen zijn altijd voldoende, maar wel sterk wisselend. Dit jaar komt hij met een bijna neutraal smakende oliebol. De korst is een tikkeltje aan de taaie kant.",7.5,99.0,,,,,,,,11.6,,,11,10.00
"Gebakkraam, Barendrecht",Gebakkraam,Barendrecht,2015,42.0,1.0,0.83,"12 voor 10,00","Zeemanstraat 2, parkeerterrein Makro","51°52'07.5""N 4°32'47.3""E",Ruim voldoende,"In de korst lijkt elastiek te zijn verwerkt, maar ben je daar doorheen, dan tref je een smakelijke inhoud. Luchtig met goede afbeet. En wat meer rozijnen erin kan geen kwaad.",7.5,73.0,,,,,,,,7.12,,,12,10.00
"Echte Bakker Grootkarzijn, Zeewolde",Echte Bakker Grootkarzijn,Zeewolde,2015,43.0,0.85,0.8,"10 voor 8,00",Kerkstraat 37,"Kerkstraat 37, Zeewolde, Nederland",Ruim voldoende,Grootkarzijn ging enkele jaren geleden onderuit en heeft duidelijke stappen vooruit gezet met deze smakelijke oliebol. Toch lijkt hij nog zoekende naar de ultieme receptuur. De korst kan beter.,7.5,90.0,,,,,,,,11.2,,,10,8.00
"Echte Bakker Steenbergen, Meppel",Echte Bakker Steenbergen,Meppel,2015,44.0,0.85,0.8,"10 voor 8,00",Oever 5,"Oever 5, Meppel, Nederland",Ruim voldoende,"Niet slecht, maar het zijn wel erg veel smaken die om aandacht vragen. Een van de kenmerken van een goede oliebol is zijn eenvoud. Bijsmaakjes zijn helemaal niet nodig.",7.5,89.0,,,,,,,,12.9,,,10,8.00
"Bakkerij Van der Wal Jolink, Apeldoorn",Bakkerij Van der Wal Jolink,Apeldoorn,2015,45.0,0.9,0.8,"5 voor 4,00",Koninginnelaan 50-52,"Koninginnelaan 50-52, Apeldoorn, Nederland",Ruim voldoende,"Een van de kleinere oliebollen. Veel proevers maken opmerkingen over het gebrek aan luchtigheid: ,,Te klef en blijft aan je gehemelte plakken.’’ Extra smaak door veel rozijnen.",7.5,77.0,,,,,,,,11.4,,,5,4.00
"Bakkerij Klootwijk, Rotterdam",Bakkerij Klootwijk,Rotterdam,2015,46.0,0.9,,None,Kreeftstraat 36,"Kreeftstraat 36, Rotterdam, Nederland",Ruim voldoende,Klootwijk krijgt opvallend veel negatieve opmerkingen over de smaak van de olie waarin is gebakken. Voor de rest een product dat waardering oogst. Maar er had meer ingezeten.,7.5,95.0,,,,,,,,13.4,,,,
"Bakker Ammerlaan, Bleiswijk",Bakker Ammerlaan,Bleiswijk,2015,47.0,0.95,0.89,"10 voor 8,95",Dorpstraat 85,"Dorpstraat 85, Bleiswijk, Nederland",Ruim voldoende,"De smaak is prima en ook de korst laat zich lekker wegknagen. Het grote minpunt is klefheid. Het plakt en kleeft, en dat eet niet echt prettig. Verbeter dit en de subtop is bereikt.",7.5,98.0,,,,,,,,11.6,,,10,8.95
"Bollen & Wafels, Zwijndrecht",Bollen & Wafels,Zwijndrecht,2015,48.0,0.95,0.9,"10 voor 9,00",Stationsplein,"Stationsplein, Zwijndrecht, Nederland",Ruim voldoende,"Waar jarenlang Oliebollenkraam Sterk op deze plek de scepter zwaaide, gaan nieuwe eigenaren Patrick en Dayenne er nu voor. Geen onverdienstelijke start. Graag iets meer vulling.",7.5,85.0,,,,,,,,7.72,,,10,9.00
"Bakkerij Bi'j Oons, Haaksbergen",Bakkerij Bi'j Oons,Haaksbergen,2015,49.0,0.85,0.8,"10 voor 8,00",Spoorstraat 55a,"Spoorstraat 55a, Haaksbergen, Nederland",Ruim voldoende,Personeel looft eigenaar Bas Nijhuis vanwege de ruimte die het krijgt. Bij zoveel vrijheid moet het mogelijk zijn beter te scoren. Bijvoorbeeld door minder bijsmaakjes. Erg goede korst.,7.5,89.0,,,,,,,,11.0,,,10,8.00
