identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"Hollandsche Gebakkraam Geisterfer, Amsterdam",Hollandsche Gebakkraam Geisterfer,Amsterdam,2016,80.0,0.9,0.75,"12 voor  9,00",Marie Heinekenplein,,(Ruim) Voldoende," Kijk eens naar het recept. Zo zorgt (iets) meer vulling voor meer smaak en dat kan deze oliebol best gebruiken. Een hoger cijfer is in potentie aanwezig, nu dat er nog uithalen.",6.0,79.1,,,,False,,,,6.1,,,12,9.00
"Oliebollenkraam Pierre Benner jr, Amersfoort",Oliebollenkraam Pierre Benner jr,Amersfoort,2016,81.0,1.0,0.83,"12 voor  10,00",Cruquius 57,,(Ruim) Voldoende," Pierre Benner jr doet er verstandig eens te kijken naar zijn receptuur. Wees minder krenterig met de vulling, dat komt de smaak ten goede. Wel een lekker knapperige korst.",6.0,83.9,,,,False,,,,11.4,,,12,10.00
"Gebakkraam Gühnen, Heerenveen",Gebakkraam Gühnen,Heerenveen,2016,82.0,0.9,0.75,"12 voor  9,00",Pleinweg/Sieverstraat,,(Ruim) Voldoende," De smaak is prima, maar door de taaie korst stijgt Heinrich Gühnen niet boven zichzelf uit. Jammer, want ook deze oliebollenbakker heeft het wel degelijk in de vingers.",6.0,93.9,,,,False,,,,8.4,,,12,9.00
"Gijs en Mien, Goes",Gijs en Mien,Goes,2016,83.0,0.9,0.8,"10 voor  8,00","Nieuwe Rijksweg 2D, bij het tuincentrum",,(Ruim) Voldoende," Nog geen onvoldoende, maar een hoogvlieger is deze bol ook niet. De korst is prima, maar de nodige smaak ontbreekt. Vanbinnen aan de kleffe kant. Oftewel: werk aan de winkel.",6.0,83.6,,,,False,,,,12.2,,,10,8.00
"Bakker Van Keulen, Gameren",Bakker Van Keulen,Gameren,2016,84.0,0.9,0.8,"10 voor  8,00",Burgerstraat 7,,(Ruim) Voldoende, Vergeleken met voorgaande jaren laat Van Keulen steken vallen. En ‘te harde korst’ en ‘te droge bol’ zijn geen opmerkingen die voor bonuspunten zorgen. Ook vrij vast van structuur.,6.0,102.4,,,,False,,,,11.8,,,10,8.00
"Bakkerij van Horssen, Zaltbommel",Bakkerij van Horssen,Zaltbommel,2016,85.0,0.95,0.91,"11 voor  10,00",Fiep Westendorpplein 8a,,(Ruim) Voldoende," Een bolletje om naar te kijken, minder om te eten. Of zoals een panellid zegt: ‘Beoordeel een boek niet op het omslag.’ De te grote hoeveelheid vulling zorgt voor smaaklawaai.",6.0,96.9,,,,False,,,,10.9,,,11,10.00
"Gebakkraam Joop van der Weerdt, Schiedam",Gebakkraam Joop van der Weerdt,Schiedam,2016,86.0,1.0,0.8,"10 voor  8,00",Winkelcentrum Hof van Spaland,,(Ruim) Voldoende," Het is maar een klein verschil tussen een krokante en een te harde korst. Hier slaat de balans naar de verkeerde kant door. Jammer, want de smaak is eigenlijk best goed.",6.0,108.1,,,,False,,,,6.8,,,10,8.00
"Bakker Bliek, Middelburg",Bakker Bliek,Middelburg,2016,87.0,0.9,0.8,"10 voor  7,95",Westerscheldeplein 10,,(Ruim) Voldoende," Bliek blijft de afgelopen jaren steeds steken in goede bedoelingen. Ook nu is het een acceptabele oliebol, maar helaas niet meer dan dat. De schrale vulling werkt ook niet mee.",6.0,87.6,,,,False,,,,13.0,,,10,7.95
"Gouki de Oliebollenkoning/Gebakkraam Benner, Almelo",Gouki de Oliebollenkoning/Gebakkraam Benner,Almelo,2016,88.0,1.0,0.83,"12 voor  10,00",Koornmarkt,,(Ruim) Voldoende," Pierre Benner sr heeft meermaals aangetoond dat hij een prima oliebol kan bakken. Deze bol heeft een goede korst, maar komt op smaak iets tekort. Het blijft een vertrouwd adres.",6.0,82.9,,,,False,,,,11.6,,,12,10.00
"Gebakkraam Treep, Amersfoort",Gebakkraam Treep,Amersfoort,2016,89.0,0.8,0.7,"10 voor  7,00",Pieter Stastokerf,,(Ruim) Voldoende, Dit bolletje ziet er niet uit. Aan de lichte kant en onregelmatig van vorm. Maar het gaat om de smaak en die kan er – wonderbaarlijk genoeg – eigenlijk best mee door.,6.0,82.9,,,,False,,,,8.8,,,10,7.00
"Gebakkraam De Poorter, Duivendrecht",Gebakkraam De Poorter,Duivendrecht,2016,90.0,1.0,0.71,"14 voor  10,00","De Flinesstraat 9, voor de Makro",,(Ruim) Voldoende, De Poorter scoort aanzienlijk beter dan enkele jaren geleden. Daaruit blijkt dat er hard is gewerkt aan verbeteringen. De oliebol smaakt redelijk. Iets meer vulling mag.,6.0,102.9,,,,False,,,,4.07,,,14,10.00
"Oliebollenkraam Gerrit Visscher, Zwolle",Oliebollenkraam Gerrit Visscher,Zwolle,2016,91.0,0.9,0.8,"10 voor  8,00","Dobbe, winkelcentrum AA-landen",,(Ruim) Voldoende," Gerrit Visscher heeft één grote hobby en dat is oliebollen bakken. Vorig jaar nog een 8, nu duidelijk minder. De kunst is om stabiel op een hoog niveau te blijven presteren.",6.0,94.0,,,,False,,,,11.8,,,10,8.00
"Oliebollenkraam, Oosterbeek",Oliebollenkraam,Oosterbeek,2016,92.0,0.9,0.82,"11 voor  9,00",Raadhuisplein,,(Ruim) Voldoende, De bus met vanillesuiker is kwistig gebruikt en daar moet je van houden. Het maakt de korst in elk geval niet minder taai. De smaak is enigszins deegachtig. Hier is werk aan de winkel.,6.0,75.1,,,,False,,,,7.5,,,11,9.00
"Oliebollenkraam, Brielle",Oliebollenkraam,Brielle,2016,93.0,0.75,0.67,"6 voor  4,00","Turfkade, markt",,(Ruim) Voldoende, De smaak wordt vooral negatief beïnvloed door verbrande krenten aan de buitenzijde. Harde korst en een te compacte structuur. Vooral een kwestie van zorgvuldiger bakken.,6.0,103.6,,,,False,,,,5.1,,,6,4.00
"Hollandse Gebakkraam J. Witstijn, Utrecht",Hollandse Gebakkraam J. Witstijn,Utrecht,2016,94.0,1.0,0.83,"12 voor  10,00","Seinedreef, parkeerterrein w.centrum Overvecht",,Onvoldoende," Ook Jopie Witstijn lijdt aan het euvel van menig kraambakker: de kwaliteit wisselt te veel. Op een goede dag scoort hij zo een 8,5, een dag later is het veel minder. Taaie korst en klef.",5.5,95.8,,,,False,,,,7.2,,,12,10.00
"Oliebollenkraam Veldmeijer, Hendrik-Ido-Ambacht",Oliebollenkraam Veldmeijer,Hendrik-Ido-Ambacht,2016,95.0,1.0,0.75,"12 voor  9,00","Langeweg 21, parkeerterrein Intratuin",,Onvoldoende, Taaie korst omhult een deegballetje dat maar net gaar is. Dan krijg je vanzelf een klef gevoel in je mond. Veldmeijer kan beter en moet de lat voor zichzelf een stukje hoger leggen.,5.5,111.3,,,,False,,,,6.8,,,12,9.00
"'t Sons Bakhuijs, Son en Breugel",'t Sons Bakhuijs,Son en Breugel,2016,96.0,0.95,0.8,"10 voor  8,00",Nieuwstraat 22,,Onvoldoende, Een klein bolletje met wel heel veel rozijnen. De bol kenmerkt zich verder door een aantal niet onder woorden te brengen bijsmaken. Een pluspunt is de knapperige korst.,5.5,62.3,,,,False,,,,17.3,,,10,8.00
"Het Suikertuintje van de Betuwe, Maurik",Het Suikertuintje van de Betuwe,Maurik,2016,97.0,0.9,,-,Homoetsestraat 10,,Onvoldoende," Een oliebol die het op onderdelen net niet heeft. Maar net gaar, te weinig vulling, te zoet met bijsmaakjes... Lokkart lijkt de moeilijkheidsgraad van de oliebol te hebben onderschat.",5.5,91.8,,,,False,,,,14.2,,,,
"Echte Bakker Eising, Wachtum",Echte Bakker Eising,Wachtum,2016,98.0,0.85,0.8,"10 voor  8,00",Middendorp 28,,Onvoldoende, Bij een kijkje in de bakkerij waan je je terug in de vorige eeuw. En daar lijkt ook de kennis over de oliebol te zijn blijven steken. Vreemde en onherkenbare bijsmaken. Snel vergeten.,5.5,96.8,,,,False,,,,12.5,,,10,8.00
"Versbakkerij Eshuis, Moerkapelle",Versbakkerij Eshuis,Moerkapelle,2016,99.0,0.9,0.82,"11 voor  9,00",Dorpsstraat 11,,Onvoldoende," Met vorig jaar nog het eindcijfer 9,5 valt Eshuis een flink stuk terug. Over de smaak is iedereen het eens: erg goed. Maar de kwaliteit van de korst valt niet bij iedereen in goede aarde.",5.5,86.9,,,,False,,,,16.3,,,11,9.00
"Echte Bakker Van Walderveen, Geldermalsen",Echte Bakker Van Walderveen,Geldermalsen,2016,100.0,0.85,0.8,"10 voor  8,00",Geldersestraat 8,,Onvoldoende," Ook deze bakker slaat op veel fronten de plank mis. Klein en droog met een nare bijsmaak. Korsteigenschappen niet optimaal, aan de stugge kant. Uithuilen en opnieuw beginnen.",5.5,78.5,,,,False,,,,12.6,,,10,8.00
"Bakker Ammerlaan, Bleiswijk",Bakker Ammerlaan,Bleiswijk,2016,101.0,0.95,0.89,"10 voor  8,95",Dorpsstraat 37,,Onvoldoende," Deze bol krijgt de handen niet op elkaar. Een taaie korst en vraagtekens bij de smaak van de vulling. ‘Chemisch’, noteert iemand. Ook is een aantal bollen maar net gaar.",5.5,96.2,,,,False,,,,12.7,,,10,8.95
"Hollandse Gebakkraam, Oost-Souburg",Hollandse Gebakkraam,Oost-Souburg,2016,102.0,0.9,0.8,"10 voor  8,00",Oranjeplein,,Onvoldoende," De korst lijkt op de huid van een sharpei: slap en rimpelig. Smaakt taai en klef met vreemde toevoegingen. En dan: standplaats Oost-Souburg. Hard buffelen dus, voor weinig centen.",5.0,95.0,,,,False,,,,8.7,,,10,8.00
"Gebakkraam Van Reken & Zn, Arnhem",Gebakkraam Van Reken & Zn,Arnhem,2016,103.0,0.8,0.7,"10 voor  7,00",Elderveldplein,,Onvoldoende, De snel stijgende lijn van de afgelopen jaren wordt nu helaas onderbroken. Vooral de smaak van de verbrande vruchten aan de buitenzijde haalt het geheel omlaag. Spijtig.,5.0,104.6,,,,False,,,,9.6,,,10,7.00
"Bakker Piet, Rijswijk",Bakker Piet,Rijswijk,2016,104.0,0.95,0.9,"10 voor  9,00",Herenstraat 33,,Onvoldoende," De bol ziet er goed uit. Helaas, hij is net niet gaar en blijft aan gehemelte en tanden plakken. Wees voorzichtig met het toevoegen van smaakaccenten. Dat pakt snel verkeerd uit.",5.0,99.3,,,,False,,,,10.1,,,10,9.00
"Hollandse Gebakkraam Huijbrechts, Den Haag",Hollandse Gebakkraam Huijbrechts,Den Haag,2016,105.0,0.8,0.73,"11 voor  8,00",Regentesseplein,,Onvoldoende," Een enkeling smult van deze oliebol (8,5!), maar de meerderheid van het panel veegt er de vloer mee aan. Nietszeggende bol: smaakloos, leerachtige korst en niet luchtig genoeg.",5.0,80.0,,,,False,,,,11.9,,,11,8.00
"Bakkerij Koopmans, Tubbergen",Bakkerij Koopmans,Tubbergen,2016,106.0,0.9,0.8,"10 voor  8,00",Grotestraat 61,,Onvoldoende, Door een foutje van het AD hoorde Koopmans pas laat dat hij 15 uur later oliebollen moest leveren. Dat gaf stress en organisatieproblemen. Komt daardoor wellicht niet uit de verf.,5.0,102.6,,,,False,,,,7.2,,,10,8.00
"Gebakkraam Verwijk, Amsterdam",Gebakkraam Verwijk,Amsterdam,2016,107.0,0.9,0.8,"10 voor  8,00",Bijlmerplein 888,,Onvoldoende," Zorg dat de korst goed is en je schiet zo dertig plaatsen omhoog. Nu is de korst wel donker, maar niet knapperig. Vanbinnen ietwat klef. Kan ook wat meer smaak gebruiken.",5.0,97.8,,,,False,,,,7.7,,,10,8.00
"Gebakkraam Jan Vermolen, Den Haag",Gebakkraam Jan Vermolen,Den Haag,2016,108.0,1.0,0.77,"13 voor  10,00",Spuiplein,,Onvoldoende," Jan Vermolen had zijn dag niet of heeft te veel zijn best gedaan. Scoorde sinds 2013 gemiddeld 8,5. De niet helemaal knapperige korst en te rijke vulling zijn kritiekpunten.",5.0,90.4,,,,False,,,,12.2,,,13,10.00
"Bakkerij Boender, Nieuw-Beijerland",Bakkerij Boender,Nieuw-Beijerland,2016,109.0,0.9,,,Kerkstraat 31B,,Onvoldoende, Meer vulling geeft vanzelf ook meer smaak en daar ontbreekt het nu een beetje aan. Met relatief weinig extra inspanning is een veel betere oliebol te maken. Probeer maar eens.,5.0,89.3,,,,False,,,,10.1,,,,
"Gebakkraam, Dokkum",Gebakkraam,Dokkum,2016,110.0,0.8,0.73,"11 voor  8,00","Zuiderschans 2, parkeerterrein voor Gamma",,Onvoldoende, Voorbeeld van de bekende fietsbol: je hebt een tweewieler nodig om van rozijn naar rozijn te fietsen. Ook nog eens vrij droog en de bollen hebben uitsteeksels. Eigenlijk heel treurig.,5.0,74.7,,,,False,,,,14.0,,,11,8.00
"Bakker Gerard, Hoofddorp",Bakker Gerard,Hoofddorp,2016,111.0,0.95,0.82,"11 voor  9,00",Hoofdweg 730a,,Onvoldoende," Harde, onaangename korst. Vanbinnen droog. Lijkt meer op een (brood)krentenbol dan een oliebol. Bakker Gerard droomt al jaren van een hoge klassering. Tijd om wakker te worden.",5.0,93.8,,,,False,,,,10.4,,,11,9.00
"Bakkerij Dees, Zaamslag",Bakkerij Dees,Zaamslag,2016,112.0,0.8,,-,Plein 5,,Onvoldoende, Met deze taaie korst maak je geen vrienden. Droge bol met een vrij compacte structuur. Bij Dees is het altijd een kwestie van vriezen of dooien. Als klant moet je geluk hebben.,5.0,94.3,,,,False,,,,9.2,,,,
"Dutch Bakery, Alkmaar",Dutch Bakery,Alkmaar,2016,113.0,1.0,0.67,"12 voor  8,00",Kerkplein,,Onvoldoende," Een oliebol mag best een beetje vet zijn, maar je kunt het overdrijven. De olie spuit eruit. Flauwe bol met weinig smaak. De taaie korst draagt evenmin bij aan de feestvreugde.",5.0,90.3,,,,False,,,,14.3,,,12,8.00
"Gebakkraam Ron Hoppema, Barendrecht",Gebakkraam Ron Hoppema,Barendrecht,2016,114.0,0.9,0.82,"11 voor  9,00",’t Vlak,,Onvoldoende," Ron Hoppema is een van de bakkers die het oprecht probeert, maar zijn inspanningen toch niet beloond ziet. Dikke korst, droge en plakkerige bol. Smaakt niet erg aangenaam.",5.0,86.0,,,,False,,,,9.1,,,11,9.00
"Oliebollencompany, Duiven",Oliebollencompany,Duiven,2016,115.0,0.9,0.83,"12 voor  10,00","Nieuwgraaf 28, bij Makro",,Onvoldoende," Een oliebol waar de goede intenties vanaf druipen, maar die jammerlijk is mislukt. Niet gaar. Te veel vulling die slecht is verdeeld. Dichte structuur. Ligt als een steen op de maag.",5.0,117.0,,,,False,,,,8.1,,,12,10.00
"Gebakkraam Bischoff, De Meern",Gebakkraam Bischoff,De Meern,2016,116.0,1.0,0.75,"12 voor  9,00",Bij winkelcentrum Mereveldplein,,Onvoldoende," Taai, verkoold en compact. In 2011 verraste Gerrie Bischoff met een 9,5. Dat succes is nooit herhaald. Het lijkt tijd om de knop definitief om te zetten en (technische) hulp te vragen.",5.0,80.3,,,,False,,,,6.0,,,12,9.00
"Hollandsche Gebakkraam Speelman, Eindhoven",Hollandsche Gebakkraam Speelman,Eindhoven,2016,117.0,0.8,0.67,"12 voor  8,00","Tarwelaan 70, parkeerterrein AH",,Onvoldoende, De vulling is aan de karige kant en dat komt de smaak niet ten goede. Om dat vast te stellen moet je je eerst door de taaie korst heenwerken. Ook hier lijkt bijscholing op zijn plaats.,5.0,75.8,,,,False,,,,7.1,,,12,8.00
"Oliebollenbakkerij Dubbelt, Rotterdam",Oliebollenbakkerij Dubbelt,Rotterdam,2016,118.0,0.9,0.75,"12 voor  9,00",Zevenkampsering 881 t.h.v. Dirk,,Onvoldoende, Dubbelt krijgt veel complimenten van klanten. Deze oliebollen zijn helaas maar net gaar en dat bepaalt in belangrijke mate de smaak. De vulling is slecht verspreid in de kleffe bol.,5.0,94.9,,,,False,,,,7.0,,,12,9.00
"Gebakkraam Kabalt, Alphen aan den Rijn",Gebakkraam Kabalt,Alphen aan den Rijn,2016,119.0,1.0,0.83,"12 voor  10,00",Herenhof,,Onvoldoende, Taai vanbuiten en klef vanbinnen. Heeft ook bijzonder weinig smaak. Hoog tijd voor verbetering en innovatie. Maar dan moet je daar als uitbater wel voor openstaan.,5.0,105.1,,,,False,,,,5.45,,,12,10.00
"Hendriks, Doetinchem",Hendriks,Doetinchem,2016,120.0,0.8,0.67,"12 voor  8,00",Simonsplein 4,,Onvoldoende, Medelijden met de mensen die op dit verkooppunt zijn aangewezen. Weinig vulling en smaak. Taai en klef. Een bakker moet zich schamen voor een dergelijke wanprestatie.,5.0,84.7,,,,False,,,,10.7,,,12,8.00
"Ron's Gebakkraam, Dordrecht",Ron's Gebakkraam,Dordrecht,2016,121.0,1.0,0.8,"10 voor  8,00",Spuiboulevard 194,,(Zeer) slecht," Vette korst, hapt niet lekker weg. Ondefinieerbare bijsmaak. Gewoon niet lekker. De goede naam die dit verkooppunt had, is de laatste tijd aan flinke slijtage onderhevig. Jammer.",4.5,121.6,,,,False,,,,10.2,,,10,8.00
"Bakker Voordijk, Oud-Beijerland",Bakker Voordijk,Oud-Beijerland,2016,122.0,0.75,0.62,"6 voor  3,75",Molendijk 42,,(Zeer) slecht, Voordijk begaat een doodzonde: de oliebollen zijn niet gaar en de buitenkant is veel te hard. Of zoals iemand schrijft: ‘Een steen gevuld met plakdeeg.’ Uithuilen en opnieuw beginnen.,4.5,88.7,,,,False,,,,10.2,,,6,3.75
"Brood- en Banketbakkerij Rud.H.Venekamp, Amsterdam",Brood- en Banketbakkerij Rud.H.Venekamp,Amsterdam,2016,123.0,0.95,,-,Ferdinand Bolstraat 134,,(Zeer) slecht, De bol gaat onderuit op de te overheersende kaneelsmaak. Hij is zo luchtig dat ook de term ‘gebakken lucht’ valt. De korst moet ook een stuk knapperiger. Handen uit de mouwen!,4.5,83.1,,,,False,,,,14.4,,,,
"Bakker Bas, Gorinchem",Bakker Bas,Gorinchem,2016,124.0,0.85,0.75,"10 voor 7,50",Piazza Center 8,,(Zeer) slecht, Een smaakaccent mag nooit overheersen en dat doet de kaneel in deze bol wel. Jammer. Lijkt ook meer op krentenbrood dan op oliebol. De korst is aan de taaie kant.,4.5,88.3,,,,False,,,,8.0,,,10,7.50
"Gebakkraam, Barendrecht",Gebakkraam,Barendrecht,2016,125.0,1.0,0.83,"12 voor  10,00","Zeemanstraat 2, parkeerterrein Makro",,(Zeer) slecht," Een oliebol die met wat kleine aanpassingen beter in balans komt en een stuk beter zal smaken. De korst mag iets krokanter, de bol iets luchtiger en een beetje minder vulling. Voila.",4.5,90.7,,,,False,,,,10.2,,,12,10.00
"Dukers dé Bakker, Stein",Dukers dé Bakker,Stein,2016,126.0,0.95,0.82,"11 voor  9,00",Mauritsweg 9,,(Zeer) slecht," Mocht een Limburgse schutterij door zijn munitie heen zijn... Harde, kleine en droge oliebollen met een kakofonie aan (bij)smaken. Bedenk: eenvoud is het kenmerk van de ware.",4.5,87.6,,,,False,,,,7.5,,,11,9.00
"Sweet Chocolate Hendriks, Nuenen",Sweet Chocolate Hendriks,Nuenen,2016,127.0,1.0,0.73,"11 voor  8,00","Collse Hoefdijk 7, parkeerterrein   Intratuin",,(Zeer) slecht," Een adres waar, als de bakker daarvoor openstaat, de instructeurs van Koopmans Meel nog veel nuttig werk kunnen verrichten. Klef en zompig, vet en vlak van smaak.",4.5,101.3,,,,False,,,,10.1,,,11,8.00
"Gebakkraam Jansen-Arjaans, Leeuwarden",Gebakkraam Jansen-Arjaans,Leeuwarden,2016,128.0,0.7,0.62,"16 voor  10,00",Cambuurplein 44,,(Zeer) slecht, Relatief lage prijs wordt terugverdiend door te bezuinigen op krenten en rozijnen. Rubberen stuiterballetje met het uiterlijk van een bleekscheet. Smaakt zoet dankzij vanillesuiker.,4.5,96.1,,,,False,,,,9.9,,,16,10.00
"Delicious Dutch, Zoetermeer",Delicious Dutch,Zoetermeer,2016,129.0,1.0,0.82,"11 voor  9,00","Samanthagang, winkelcentrum Rokkeveen",,(Zeer) slecht, Dé oliebol voor vogelliefhebbers. Touwtje erom en ophangen als (mager) vetbolletje voor onze gevederde vrienden. Zelf consumeren lijkt minder verstandig. Tenzij de wc dichtbij is.,4.0,89.0,,,,False,,,,6.9,,,11,9.00
"Gebakkraam De Boer, Bussum",Gebakkraam De Boer,Bussum,2016,130.0,1.0,0.83,"12 voor  10,00",Julianaplein,,(Zeer) slecht," Keurig verzorgde kraam waar men vast van goede wil is. Maar op allerlei baktechnische aspecten gaat het mis. De korst is redelijk, de structuur onvoldoende. Klef en weinig smaak.",4.0,94.3,,,,False,,,,6.3,,,12,10.00
"Van der Schee's Lekkernij, Vlaardingen",Van der Schee's Lekkernij,Vlaardingen,2016,131.0,1.0,0.83,"6 voor  5,00","Deltaweg 76, parkeerterrein tuincentrum",,(Zeer) slecht," Vreemd allegaartje aan smaakjes, waaronder – dankzij verbrande vruchten – die van houtskool. Als je geluk hebt, koop je hier een prima oliebol. Bij pech zo een als deze.",4.0,98.4,,,,False,,,,8.15,,,6,5.00
"Hollandse Gebakkraam Nick Albers, Aalsmeer",Hollandsche Gebakkraam Albers,Aalsmeer,2016,132.0,1.0,0.8,"10 voor  8,00",Ophelialaan,,(Zeer) slecht," De smaak valt eigenlijk best mee, maar het gaat erom ook de laatste verbeterslagen te maken. Minder kaneel, betere structuur, mooiere korst en je hebt een topbol.",4.0,90.7,,,,False,,,,8.9,,,10,8.00
"Brabantse Gebakkraam Leenders-Verwijk, Maassluis",Brabantse Gebakkraam Leenders-Verwijk,Maassluis,2016,133.0,0.9,0.8,"10 voor  8,00","Winkelcentrum Koningshoek, voor AH",,(Zeer) slecht," Koningshoek wordt verbouwd om het klantvriendelijker te maken; iets wat deze oliebol ook wel kan gebruiken. Rare vorm, nare smaak. Lijkt op een mislukt puddingbroodje.",3.5,87.1,,,,False,,,,9.32,,,10,8.00
"Bakkerij Van den Berg, Maasdijk",Bakkerij Van den Berg,Maasdijk,2016,134.0,0.9,,-,Oranjeplein 32,,(Zeer) slecht, Deze op andere fronten prijswinnende bakker verslikt zich lelijk in de oliebol. Medicinale smaakafwijking die associaties oproept met een fluorbehandeling bij de tandarts.,3.5,86.1,,,,False,,,,9.0,,,,
"Oliebollenkraam, Doesburg",Oliebollenkraam,Doesburg,2016,135.0,0.9,0.7,"10 voor  7,00",Voormarkt,,(Zeer) slecht," Zacht bolletje dat je bij wijze van spreken naar binnen kunt zuigen. Eigenlijk geen korst aanwezig, vanbinnen veel te nat. Kippenvel en rechtovereind staande haartjes.",3.5,89.1,,,,False,,,,5.3,,,10,7.00
"Tony's Gebakkraam, Bodegraven",Tony's Gebakkraam,Bodegraven,2016,136.0,0.8,0.67,"12 voor  8,00",Raadhuisplein 1,,(Zeer) slecht, Een oliebol die bitter weinig waardering krijgt. Klein van formaat en erg donker gebakken. Korst is taai en vanbinnen klef. Plakbolletje dat ook nog eens net niet gaar is.,3.5,77.2,,,,False,,,,6.5,,,12,8.00
"Bollen & Wafels, Zwijndrecht",Bollen & Wafels,Zwijndrecht,2016,137.0,0.95,0.9,"10 voor  9,00",Stationsplein,,(Zeer) slecht," Laat de bollen langer in de olie liggen, dan zijn ze waarschijnlijk wel gaar. Nu zijn ze klef van het vrijwel rauwe deeg. Verhoog ook het smaakgehalte. Dit verkooppunt kan veel beter.",3.5,88.4,,,,False,,,,5.9,,,10,9.00
"Bakkerij G. van Olst, Wezep",Bakkerij G. van Olst,Wezep,2016,138.0,0.8,0.75,"10 voor  7,50",Zuiderzeestraatweg 489,,(Zeer) slecht, Bakker doet voor het eerst mee en gaat keihard onderuit. Klef en taai. Smakeloos stuk deeg. Zeer geschikt als visvoer of voor kinderen om mee te kleien. Maar zelf consumeren? Nee!,3.5,84.8,,,,False,,,,10.5,,,10,7.50
"Gebakkraam Stuij, Vianen",Gebakkraam Stuij,Vianen,2016,139.0,1.0,0.71,"14 voor  10,00","Edisonweg 4, voor ingang Makro",,(Zeer) slecht, Johan Stuij zegt ‘achter zijn product te staan’ en wil daarom worden getest. Het panel heeft echter weinig goede woorden over voor zijn oliebollen. Toch een ander recept proberen?,3.5,76.3,,,,False,,,,4.7,,,14,10.00
"Bakker Snoep, Rhenen",Bakker Snoep,Rhenen,2016,140.0,0.7,,-,"Voor Coop, Schoneveld 35",,(Zeer) slecht," Als hij de kans krijgt, moet Snoep zich maar aanmelden voor bakles. Dat is hard nodig. Dit lijkt nog het meest op te zoet krentenbrood met het uiterlijk van een wrattenzwijn.",3.5,61.5,,,,False,,,,13.3,,,,
"Gouki de Oliebollenkoning, Zuidlaren",Gouki de Oliebollenkoning,Zuidlaren,2016,141.0,1.0,0.83,"12 voor  10,00",Stationsweg thv nr 33,,(Zeer) slecht, Gouki staat voor vele generaties oliebollenbakkers. Maar in de loop der tijd zijn de technieken veranderd. Maak daar gebruik van en je bakt betere bollen. Nu zijn ze vooral klef.,3.5,99.8,,,,False,,,,5.4,,,12,10.00
"Gebakkraam Denies, Breda",Gebakkraam Denies,Breda,2016,142.0,1.0,0.82,"11 voor  9,00",Dr. Struyckenplein,,(Zeer) slecht," De poging om de in de ogen van de verkoper te lage score van vorig jaar te verbeteren, slaagt niet. Erg donker gebakken. De smaak van de vanillesuiker is overheersend.",3.5,95.2,,,,False,,,,6.2,,,11,9.00
"Oliebollenkraam Dennis Bischoff, Lochem",Oliebollenkraam Dennis Bischoff,Lochem,2016,143.0,1.0,0.83,"12 voor  10,00","parkeerterrein Intratuin, Goorseweg 27",,(Zeer) slecht," Dennis Bischoff schatte zelf in dat hij kans maakte op een plaats in de top 10. Het panel oordeelt anders. ‘Er zit wel smaak aan, maar niet de juiste smaak.’ Klef en taai.",3.5,86.2,,,,False,,,,8.6,,,12,10.00
"Gebakkraam Henskens, Rotterdam",Gebakkraam Henskens,Rotterdam,2016,144.0,0.9,0.82,"11 voor  9,00",Vuurplaat t.h.v. 322,,(Zeer) slecht, Op de rand van niet gaar en daardoor in elk geval behoorlijk klef. Blijft in je mond plakken. Erg taaie korst. De vriendelijke uitbater moet nog wat energie in bijscholing stoppen.,3.5,106.1,,,,False,,,,4.1,,,11,9.00
"Hollandse Gebakkraam Henskens, Rotterdam",Hollandse Gebakkraam Henskens,Rotterdam,2016,145.0,1.0,0.83,"12 voor  10,00",Eendrachtsplein,,(Zeer) slecht," Kleffe, flauwe hap met overheersende gistsmaak. Amper vulling. Het beeld van Kabouter Buttplug voor de kraam brengt je op een idee waar je deze oliebol kunt opbergen.",3.5,94.7,,,,False,,,,8.1,,,12,10.00
"Oud Hollandse Gebakkraam Muller, Woerden",Oud Hollandse Gebakkraam Muller,Woerden,2016,146.0,1.0,0.7,"10 voor  7,00",Westdam,,(Zeer) slecht, Muller sr staat al veel jaren in de gebakkraam. Dat is misschien zijn achilleshiel. Voortborduren op oude gewoonten levert anno 2016 niet altijd de beste bol op. Taai en klef.,3.0,88.6,,,,False,,,,6.8,,,10,7.00
"Buurtmarkt Breedeweg, Groesbeek",Buurtmarkt Breedeweg,Groesbeek,2016,147.0,0.9,0.8,"10 voor  8,00",Bredeweg 61,,(Zeer) slecht," Een nobel streven, mensen met een beperking inhuren. Maar voor de bollen pakt het minder goed uit. Ze zijn bijna verkoold. Aangebrande smaak. Binnenin een kleffe deegbal. Bah!",3.0,100.7,,,,False,,,,7.7,,,10,8.00
